,material_id,cif
0,0,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.36335000
_cell_length_b   4.88486000
_cell_length_c   6.73968276
_cell_angle_alpha   97.56721360
_cell_angle_beta   104.90638191
_cell_angle_gamma   95.62512000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C24
_cell_volume   136.29814952
_cell_formula_units_Z   24
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.46156345  0.51194669  0.53210112  1
  C  C1  1  0.47455698  0.49407397  0.29996071  1
  C  C2  1  0.36245095  0.16982873  0.95028689  1
  C  C3  1  0.16556560  0.84135663  0.63452786  1
  C  C4  1  0.01732409  0.05688693  0.51566068  1
  C  C5  1  0.71926605  0.37944203  0.61899205  1
  C  C6  1  0.30909349  0.70066877  0.18468705  1
  C  C7  1  0.73172014  0.67353960  0.96853286  1
  C  C8  1  0.65327185  0.05705523  0.51536668  1
  C  C9  1  0.79340880  0.89620990  0.85267163  1
  C  C10  1  0.72498767  0.17369531  0.94858788  1
  C  C11  1  0.95410557  0.71989667  0.18638418  1
  C  C12  1  0.83310694  0.22431723  0.19026195  1
  C  C13  1  0.53113302  0.83220348  0.63329242  1
  C  C14  1  0.35932200  0.67315242  0.96763074  1
  C  C15  1  0.83397499  0.40366753  0.84957733  1
  C  C16  1  0.03381195  0.01925831  0.29842467  1
  C  C17  1  0.19856564  0.35833502  0.61100989  1
  C  C18  1  0.84390922  0.51937597  0.30974045  1
  C  C19  1  0.39144739  0.00275572  0.30324316  1
  C  C20  1  0.47344038  0.20482263  0.18411243  1
  C  C21  1  0.97531561  0.54192458  0.54043522  1
  C  C22  1  0.16690438  0.89626339  0.85464096  1
  C  C23  1  0.20366026  0.39701666  0.85222990  1
"
1,1,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.48320000
_cell_length_b   7.30651923
_cell_length_c   8.60061556
_cell_angle_alpha   103.82844607
_cell_angle_beta   98.28949211
_cell_angle_gamma   99.76900547
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C24
_cell_volume   146.51692959
_cell_formula_units_Z   24
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.97764592  0.87176766  0.27608783  1
  C  C1  1  0.43988608  0.03983538  0.03213809  1
  C  C2  1  0.15562921  0.51597432  0.99341658  1
  C  C3  1  0.56093842  0.11621834  0.19983701  1
  C  C4  1  0.19752973  0.95539124  0.63006054  1
  C  C5  1  0.56788725  0.57447747  0.75962550  1
  C  C6  1  0.02125347  0.29933432  0.93411866  1
  C  C7  1  0.56538607  0.00292429  0.32040948  1
  C  C8  1  0.30584820  0.28478927  0.51300321  1
  C  C9  1  0.53330733  0.65133094  0.60515435  1
  C  C10  1  0.86684289  0.65169734  0.27005353  1
  C  C11  1  0.52671344  0.23723677  0.00633244  1
  C  C12  1  0.36734050  0.47077848  0.45055921  1
  C  C13  1  0.75229138  0.06618198  0.63024303  1
  C  C14  1  0.72356538  0.15354192  0.48064678  1
  C  C15  1  0.31242659  0.82884423  0.99498482  1
  C  C16  1  0.43086354  0.35457650  0.70053717  1
  C  C17  1  0.65518702  0.30631856  0.20028996  1
  C  C18  1  0.84483455  0.79767907  0.08916398  1
  C  C19  1  0.91066506  0.26339736  0.75258621  1
  C  C20  1  0.81967210  0.48309245  0.34506559  1
  C  C21  1  0.74256022  0.59414981  0.08958987  1
  C  C22  1  0.09273815  0.76599408  0.61033622  1
  C  C23  1  0.14784309  0.63277211  0.86227765  1
"
2,2,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.86708000
_cell_length_b   5.67898301
_cell_length_c   5.96462615
_cell_angle_alpha   77.22977246
_cell_angle_beta   87.74177095
_cell_angle_gamma   65.69696955
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C24
_cell_volume   146.28933189
_cell_formula_units_Z   24
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.40942400  0.65862283  0.01737490  1
  C  C1  1  0.67353970  0.92876225  0.84866709  1
  C  C2  1  0.85888937  0.60791682  0.27704249  1
  C  C3  1  0.54370919  0.76422478  0.34218707  1
  C  C4  1  0.42442893  0.96165500  0.67734029  1
  C  C5  1  0.44956246  0.74718772  0.57324733  1
  C  C6  1  0.01197020  0.30952082  0.36217000  1
  C  C7  1  0.81952053  0.17351610  0.49353686  1
  C  C8  1  0.04201429  0.74377060  0.34911353  1
  C  C9  1  0.83903116  0.39356495  0.94699606  1
  C  C10  1  0.73911120  0.66049501  0.01011687  1
  C  C11  1  0.35859747  0.63453637  0.26655643  1
  C  C12  1  0.52185635  0.40479008  0.90871076  1
  C  C13  1  0.48968903  0.36539710  0.47256247  1
  C  C14  1  0.14888151  0.16755553  0.96199322  1
  C  C15  1  0.83664354  0.02970232  0.29875210  1
  C  C16  1  0.46458473  0.15581440  0.99953285  1
  C  C17  1  0.12347938  0.72444910  0.59562660  1
  C  C18  1  0.33988156  0.19001984  0.44799587  1
  C  C19  1  0.52845419  0.04604233  0.25724402  1
  C  C20  1  0.94031236  0.94817513  0.71611180  1
  C  C21  1  0.41419926  0.50409020  0.66920809  1
  C  C22  1  0.96968561  0.20074637  0.16335609  1
  C  C23  1  0.19640743  0.94387708  0.85375559  1
"
3,3,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.49555000
_cell_length_b   7.48646620
_cell_length_c   7.76505000
_cell_angle_alpha   89.19464730
_cell_angle_beta   82.06581000
_cell_angle_gamma   87.06404920
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C24
_cell_volume   143.49234617
_cell_formula_units_Z   24
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.60438149  0.95807723  0.32751916  1
  C  C1  1  0.28641514  0.68696810  0.06530240  1
  C  C2  1  0.11266923  0.84284455  0.35748475  1
  C  C3  1  0.86509414  0.84241933  0.85327581  1
  C  C4  1  0.44707379  0.27466513  0.70179693  1
  C  C5  1  0.90864152  0.64003364  0.81087630  1
  C  C6  1  0.90244390  0.27065931  0.97929422  1
  C  C7  1  0.13700982  0.32711068  0.26928495  1
  C  C8  1  0.00870944  0.50464482  0.51755744  1
  C  C9  1  0.47047115  0.06798764  0.65611873  1
  C  C10  1  0.96337325  0.95506930  0.68708703  1
  C  C11  1  0.03663952  0.81240536  0.55013514  1
  C  C12  1  0.98725532  0.64750186  0.62149529  1
  C  C13  1  0.18028810  0.03955021  0.05156101  1
  C  C14  1  0.05792395  0.21455802  0.43722381  1
  C  C15  1  0.17932924  0.67224683  0.24529291  1
  C  C16  1  0.64711505  0.06583750  0.15927894  1
  C  C17  1  0.97848361  0.32956034  0.59769346  1
  C  C18  1  0.30401764  0.86508545  0.96287460  1
  C  C19  1  0.69403350  0.26846944  0.17267987  1
  C  C20  1  0.55357903  0.10386394  0.45950516  1
  C  C21  1  0.38551732  0.56035305  0.90160833  1
  C  C22  1  0.09653402  0.51224246  0.33699711  1
  C  C23  1  0.41502585  0.34276951  0.89135575  1
"
4,4,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.73005000
_cell_length_b   4.87984000
_cell_length_c   6.61671398
_cell_angle_alpha   111.52418576
_cell_angle_beta   90.11793955
_cell_angle_gamma   105.00947000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C24
_cell_volume   136.42510380
_cell_formula_units_Z   24
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.28056536  0.07792503  0.81426810  1
  C  C1  1  0.42127124  0.15373958  0.04472682  1
  C  C2  1  0.84998265  0.28099042  0.42640123  1
  C  C3  1  0.29398639  0.61419285  0.36741467  1
  C  C4  1  0.10804915  0.27253468  0.76215163  1
  C  C5  1  0.90029160  0.17051783  0.17866136  1
  C  C6  1  0.75744811  0.83236797  0.06990396  1
  C  C7  1  0.10320160  0.74489929  0.74296487  1
  C  C8  1  0.81804220  0.64920617  0.83842711  1
  C  C9  1  0.87088689  0.67590233  0.19771239  1
  C  C10  1  0.27803678  0.11453159  0.37719355  1
  C  C11  1  0.81486064  0.31411475  0.84287473  1
  C  C12  1  0.30191822  0.59187066  0.80956130  1
  C  C13  1  0.55841669  0.57679438  0.67585350  1
  C  C14  1  0.23252220  0.78534520  0.22791638  1
  C  C15  1  0.02694040  0.61214169  0.50268539  1
  C  C16  1  0.42181747  0.81507533  0.04375137  1
  C  C17  1  0.02594741  0.12212118  0.51399913  1
  C  C18  1  0.85326196  0.79112382  0.43957248  1
  C  C19  1  0.56745706  0.76785434  0.53811178  1
  C  C20  1  0.75541279  0.33312934  0.07212329  1
  C  C21  1  0.23983013  0.27468321  0.22760971  1
  C  C22  1  0.55334076  0.25571663  0.52323285  1
  C  C23  1  0.55179800  0.08998943  0.67789311  1
"
5,5,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.47668000
_cell_length_b   6.54951465
_cell_length_c   7.46781402
_cell_angle_alpha   90.39545353
_cell_angle_beta   100.23525780
_cell_angle_gamma   100.78124030
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C24
_cell_volume   164.24474292
_cell_formula_units_Z   24
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.77597044  0.61560129  0.70495503  1
  C  C1  1  0.89881705  0.58818786  0.32337214  1
  C  C2  1  0.69532443  0.76156055  0.42019107  1
  C  C3  1  0.34889667  0.91632221  0.83141502  1
  C  C4  1  0.65571898  0.23060713  0.33226454  1
  C  C5  1  0.78642802  0.85368846  0.11430353  1
  C  C6  1  0.99703118  0.27604583  0.47873185  1
  C  C7  1  0.43930349  0.12694401  0.76425923  1
  C  C8  1  0.73681056  0.27998797  0.87177217  1
  C  C9  1  0.05490297  0.05669425  0.12415366  1
  C  C10  1  0.15193397  0.48779325  0.46386986  1
  C  C11  1  0.50119767  0.61152714  0.54306577  1
  C  C12  1  0.47468938  0.84438400  0.26023061  1
  C  C13  1  0.07361201  0.70808021  0.17579355  1
  C  C14  1  0.17945445  0.59673796  0.00511683  1
  C  C15  1  0.01415630  0.23394988  0.02828247  1
  C  C16  1  0.15819810  0.12615902  0.59126558  1
  C  C17  1  0.30562465  0.41136674  0.09101275  1
  C  C18  1  0.96709400  0.91413541  0.55129532  1
  C  C19  1  0.03657132  0.80732645  0.70439475  1
  C  C20  1  0.39092376  0.05223148  0.25911052  1
  C  C21  1  0.58706771  0.41196846  0.24385862  1
  C  C22  1  0.85155163  0.49491254  0.85277657  1
  C  C23  1  0.47864585  0.78557031  0.95946634  1
"
6,6,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.50130000
_cell_length_b   7.29426000
_cell_length_c   7.97885461
_cell_angle_alpha   80.50945510
_cell_angle_beta   89.98330203
_cell_angle_gamma   80.14591000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C24
_cell_volume   141.40600723
_cell_formula_units_Z   24
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.03771133  0.65487324  0.06359477  1
  C  C1  1  0.07168036  0.58076285  0.89905259  1
  C  C2  1  0.94871659  0.82318661  0.43986746  1
  C  C3  1  0.44039304  0.84995610  0.84111601  1
  C  C4  1  0.47520999  0.77081242  0.34490977  1
  C  C5  1  0.25681527  0.21219730  0.86463383  1
  C  C6  1  0.10386420  0.51681111  0.23061780  1
  C  C7  1  0.20746910  0.30426833  0.51850552  1
  C  C8  1  0.98305038  0.76350938  0.78198064  1
  C  C9  1  0.01505415  0.69183797  0.61594859  1
  C  C10  1  0.21005503  0.30696142  0.20866201  1
  C  C11  1  0.83818262  0.04682378  0.38178825  1
  C  C12  1  0.84811971  0.03035640  0.18824170  1
  C  C13  1  0.61704871  0.48897705  0.84817824  1
  C  C14  1  0.47450975  0.78241435  0.03910361  1
  C  C15  1  0.27600287  0.17142483  0.38782019  1
  C  C16  1  0.71885216  0.28678394  0.92912909  1
  C  C17  1  0.64347483  0.43183705  0.50489335  1
  C  C18  1  0.26564595  0.19646955  0.68400858  1
  C  C19  1  0.34151548  0.04397979  0.79030053  1
  C  C20  1  0.40684869  0.91253565  0.17015847  1
  C  C21  1  0.74206450  0.24419387  0.12114736  1
  C  C22  1  0.58099059  0.56019133  0.32930918  1
  C  C23  1  0.57976176  0.56113927  0.64059740  1
"
7,7,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.49417000
_cell_length_b   6.80271271
_cell_length_c   8.98213000
_cell_angle_alpha   112.06435934
_cell_angle_beta   92.24999000
_cell_angle_gamma   94.69944889
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C24
_cell_volume   140.35936160
_cell_formula_units_Z   24
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.97799845  0.47537013  0.63551575  1
  C  C1  1  0.06346843  0.87010159  0.62594801  1
  C  C2  1  0.78848661  0.09541543  0.05591965  1
  C  C3  1  0.55357767  0.77782397  0.81051246  1
  C  C4  1  0.99667323  0.09689342  0.46621855  1
  C  C5  1  0.47698158  0.73155571  0.37036653  1
  C  C6  1  0.48176097  0.53186019  0.56234615  1
  C  C7  1  0.43554763  0.67878269  0.19040129  1
  C  C8  1  0.02246439  0.25966945  0.62718230  1
  C  C9  1  0.90643765  0.99294237  0.16287954  1
  C  C10  1  0.92764076  0.14477041  0.32489875  1
  C  C11  1  0.53780207  0.76032675  0.64429635  1
  C  C12  1  0.93719113  0.75342026  0.12374384  1
  C  C13  1  0.91111919  0.37014849  0.31428226  1
  C  C14  1  0.86075199  0.33087045  0.13565372  1
  C  C15  1  0.37917784  0.43112882  0.09487398  1
  C  C16  1  0.01315911  0.86734323  0.45458514  1
  C  C17  1  0.00992343  0.65681068  0.81379165  1
  C  C18  1  0.66403235  0.01134022  0.88224688  1
  C  C19  1  0.36130714  0.44682067  0.93034927  1
  C  C20  1  0.91180428  0.58454239  0.94553965  1
  C  C21  1  0.44551907  0.49894482  0.38930659  1
  C  C22  1  0.16443898  0.05745776  0.79440119  1
  C  C23  1  0.21702886  0.25715021  0.77631332  1
"
8,8,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.51764000
_cell_length_b   6.56710110
_cell_length_c   9.04258065
_cell_angle_alpha   105.16636575
_cell_angle_beta   93.97047372
_cell_angle_gamma   100.38314801
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C24
_cell_volume   140.86535348
_cell_formula_units_Z   24
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.22800013  0.39107760  0.75016643  1
  C  C1  1  0.02458212  0.83462194  0.21472366  1
  C  C2  1  0.23117510  0.20561599  0.62224132  1
  C  C3  1  0.22193540  0.98874264  0.80872054  1
  C  C4  1  0.88892223  0.59365557  0.13200633  1
  C  C5  1  0.09864991  0.80827385  0.52865565  1
  C  C6  1  0.56195943  0.78800082  0.42780667  1
  C  C7  1  0.42649015  0.54697119  0.34499260  1
  C  C8  1  0.29280746  0.78805664  0.83274749  1
  C  C9  1  0.15655477  0.59148662  0.72641276  1
  C  C10  1  0.42972469  0.47560755  0.48683202  1
  C  C11  1  0.73335426  0.23002158  0.19959625  1
  C  C12  1  0.58634572  0.90816733  0.30871839  1
  C  C13  1  0.25437275  0.37242198  0.90242883  1
  C  C14  1  0.02072042  0.90552345  0.07284416  1
  C  C15  1  0.27656563  0.23737340  0.45909614  1
  C  C16  1  0.86462756  0.47377903  0.25064592  1
  C  C17  1  0.71751222  0.15167657  0.35922145  1
  C  C18  1  0.19678038  0.00859979  0.65682114  1
  C  C19  1  0.43867211  0.79278275  0.99145829  1
  C  C20  1  0.21890109  0.17452738  0.93649053  1
  C  C21  1  0.17417181  0.14382132  0.09967595  1
  C  C22  1  0.01130267  0.58799069  0.56815903  1
  C  C23  1  0.35212780  0.57308042  0.03096924  1
"
9,9,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.47062000
_cell_length_b   7.54361287
_cell_length_c   8.08701000
_cell_angle_alpha   68.70335276
_cell_angle_beta   81.22988000
_cell_angle_gamma   80.59330823
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C24
_cell_volume   137.82756644
_cell_formula_units_Z   24
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.43227532  0.43479473  0.01763867  1
  C  C1  1  0.35813104  0.05391628  0.53928143  1
  C  C2  1  0.65691726  0.16330497  0.83243744  1
  C  C3  1  0.54133153  0.23234046  0.00475767  1
  C  C4  1  0.68481545  0.30221694  0.63775148  1
  C  C5  1  0.66697833  0.67480849  0.31082282  1
  C  C6  1  0.04604895  0.12880095  0.09864508  1
  C  C7  1  0.46801629  0.00186417  0.37269466  1
  C  C8  1  0.14592431  0.42786457  0.59192571  1
  C  C9  1  0.02562427  0.57509175  0.69468577  1
  C  C10  1  0.30589313  0.84715157  0.84989597  1
  C  C11  1  0.19958679  0.03527314  0.87477632  1
  C  C12  1  0.38909699  0.86672322  0.67093094  1
  C  C13  1  0.20675984  0.54717993  0.35680618  1
  C  C14  1  0.85166959  0.28545680  0.32041009  1
  C  C15  1  0.32817992  0.40137584  0.25212959  1
  C  C16  1  0.80291475  0.17997238  0.52278192  1
  C  C17  1  0.50115043  0.69862534  0.62126051  1
  C  C18  1  0.15221817  0.93926333  0.07477158  1
  C  C19  1  0.96199076  0.10462676  0.28184361  1
  C  C20  1  0.69515496  0.81093101  0.11698559  1
  C  C21  1  0.92319726  0.54052736  0.92877119  1
  C  C22  1  0.55184003  0.79163926  0.42566354  1
  C  C23  1  0.81150855  0.74118564  0.94630454  1
"
