,material_id,cif
0,0,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.47235000
_cell_length_b   3.35363000
_cell_length_c   5.15983000
_cell_angle_alpha   85.42666000
_cell_angle_beta   89.67178000
_cell_angle_gamma   68.87641000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   39.76797965
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.55840229  0.39498870  0.32394033  1
  C  C1  1  0.40290431  0.70695202  0.84239147  1
  C  C2  1  0.02818112  0.45679000  0.44463993  1
  C  C3  1  0.18726722  0.14172247  0.92655916  1
  C  C4  1  0.98583890  0.54020266  0.71788887  1
  C  C5  1  0.60474576  0.30729945  0.05105394  1
"
1,1,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.44094000
_cell_length_b   2.54908000
_cell_length_c   6.47863582
_cell_angle_alpha   79.37290133
_cell_angle_beta   89.17510409
_cell_angle_gamma   87.14599000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   39.56994625
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.09522141  0.94885355  0.43582247  1
  C  C1  1  0.59177388  0.77629936  0.76531276  1
  C  C2  1  0.08906777  0.72015798  0.87332408  1
  C  C3  1  0.09358494  0.06068911  0.20646152  1
  C  C4  1  0.59247816  0.89229825  0.54371293  1
  C  C5  1  0.09101346  0.60879624  0.10283453  1
"
2,2,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.40704000
_cell_length_b   3.63266978
_cell_length_c   3.99747000
_cell_angle_alpha   97.50964891
_cell_angle_beta   99.10093000
_cell_angle_gamma   112.41267119
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   44.16251489
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.43064102  0.52016708  0.41094716  1
  C  C1  1  0.62127013  0.30628545  0.60223728  1
  C  C2  1  0.92696838  0.95925267  0.91169967  1
  C  C3  1  0.11644172  0.36303373  0.10262841  1
  C  C4  1  0.62030871  0.92391746  0.60187465  1
  C  C5  1  0.92569955  0.57677302  0.91124543  1
"
3,3,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.79966000
_cell_length_b   3.64539303
_cell_length_c   4.81153135
_cell_angle_alpha   112.21480266
_cell_angle_beta   95.34000385
_cell_angle_gamma   102.55720867
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   43.53073227
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.31302538  0.40170305  0.07847022  1
  C  C1  1  0.31914110  0.05726651  0.38692116  1
  C  C2  1  0.31525909  0.46186186  0.57732683  1
  C  C3  1  0.31776757  0.67600238  0.38740857  1
  C  C4  1  0.31572831  0.61565886  0.88848379  1
  C  C5  1  0.31208775  0.02041504  0.07880793  1
"
4,4,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.81640000
_cell_length_b   3.63534610
_cell_length_c   4.82159895
_cell_angle_alpha   67.88067211
_cell_angle_beta   75.20953258
_cell_angle_gamma   78.54804386
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   43.92772639
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.93376169  0.67737358  0.36576820  1
  C  C1  1  0.93326735  0.05859874  0.36596400  1
  C  C2  1  0.92952778  0.40458643  0.67582819  1
  C  C3  1  0.93168323  0.46288354  0.17596323  1
  C  C4  1  0.93052550  0.02310927  0.67586852  1
  C  C5  1  0.93160894  0.61878335  0.86573676  1
"
5,5,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.19883000
_cell_length_b   4.14726735
_cell_length_c   4.18312000
_cell_angle_alpha   60.54092636
_cell_angle_beta   67.99812000
_cell_angle_gamma   68.46891603
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   43.63768491
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.76950249  0.92751208  0.71851180  1
  C  C1  1  0.43624757  0.59409852  0.38488229  1
  C  C2  1  0.43609827  0.92695244  0.05137633  1
  C  C3  1  0.10303602  0.59382638  0.71815906  1
  C  C4  1  0.77009284  0.26060077  0.38445655  1
  C  C5  1  0.10298369  0.26076712  0.05164608  1
"
6,6,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.56508000
_cell_length_b   3.63806000
_cell_length_c   3.68092644
_cell_angle_alpha   99.15348719
_cell_angle_beta   96.82543829
_cell_angle_gamma   109.93071000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   43.53332319
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.52418092  0.55501547  0.65788633  1
  C  C1  1  0.52226126  0.93487113  0.65934688  1
  C  C2  1  0.02249382  0.99384923  0.15901767  1
  C  C3  1  0.83184605  0.20800365  0.96647294  1
  C  C4  1  0.83028358  0.58810404  0.96805445  1
  C  C5  1  0.33182348  0.14925408  0.46687734  1
"
7,7,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.71228000
_cell_length_b   3.62717615
_cell_length_c   4.82340976
_cell_angle_alpha   112.02109582
_cell_angle_beta   91.61395315
_cell_angle_gamma   97.06817823
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   43.51354383
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.72867745  0.04002089  0.14203335  1
  C  C1  1  0.72894178  0.48102678  0.64236021  1
  C  C2  1  0.72855597  0.88607474  0.83376158  1
  C  C3  1  0.72836714  0.09919575  0.64237134  1
  C  C4  1  0.72900828  0.82689793  0.33351915  1
  C  C5  1  0.72830719  0.44516571  0.33374698  1
"
8,8,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.59388000
_cell_length_b   3.64757000
_cell_length_c   4.83251985
_cell_angle_alpha   67.83127345
_cell_angle_beta   88.48100031
_cell_angle_gamma   88.47014000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   42.32050414
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.99905771  0.35851753  0.14402253  1
  C  C1  1  0.99937914  0.41563005  0.64531378  1
  C  C2  1  0.99968988  0.80031213  0.64529859  1
  C  C3  1  0.99930637  0.76112709  0.95342175  1
  C  C4  1  0.99957690  0.14575183  0.95355196  1
  C  C5  1  0.99960971  0.20294157  0.45487619  1
"
9,9,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.00218000
_cell_length_b   3.63568000
_cell_length_c   4.56155944
_cell_angle_alpha   101.00598968
_cell_angle_beta   103.82978450
_cell_angle_gamma   108.55409000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   43.86318860
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.17669495  0.24661749  0.58826230  1
  C  C1  1  0.48280244  0.28300290  0.89851860  1
  C  C2  1  0.17780782  0.62859236  0.58910977  1
  C  C3  1  0.48161771  0.90099191  0.89750436  1
  C  C4  1  0.98476948  0.84369874  0.39840772  1
  C  C5  1  0.67453310  0.68595359  0.08834225  1
"
